zmp3_name	zmp3_id	artist_group	community	cluster	zmp3_genre1	zmp3_genre2	zmp3_genre3	zmp3_genre4
Elvis Phương	532		6		Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	Nhạc Dân Ca - Quê Hương
Hàn Thái Tú	536	Pop 9x Sến	0		Việt Nam	Nhạc Trữ Tình		
Ngọc Huyền	544		6	8.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	Cải Lương
Nguyễn Hưng	546		6	17.0	Việt Nam	Nhạc Trữ Tình		
Như Quỳnh	551		6	28.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Quang Dũng	554	Pop 9x nhạc sang	6		Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	Nhạc Trịnh
Thiên Kim	558		6	17.0	Việt Nam	Nhạc Trữ Tình		
Thúy Vi	560		6	18.0	Việt Nam	Nhạc Trữ Tình		
Tú Quyên	562		6	17.0	Việt Nam	Nhạc Trữ Tình		
Ý Lan	563		6	18.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Băng Tâm	564		6	28.0	Việt Nam	Nhạc Trữ Tình		
Cẩm Vân	566	Pop 9x nhạc sang	6		Việt Nam	Nhạc Trữ Tình	Nhạc Trịnh	
Quốc Đại	716		6	28.0	Việt Nam	Nhạc Trữ Tình		
Hoài Linh	718		6	28.0	Việt Nam	Nhạc Trữ Tình		
Đoan Trang	727	Pop 9x thị trường	0		Việt Nam	Nhạc Trữ Tình		
Đức Tuấn	729		6		Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Dương Ngọc Thái	730		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Duy Mạnh	734	Pop 9x Sến	0	21.0	Việt Nam	V-Pop		
Vân Quang Long	741	Pop 9x Sến	0	21.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Thủy Tiên	747		6	17.0	Việt Nam	Nhạc Trữ Tình		
Henry Chúc	748		6		Việt Nam	Nhạc Trữ Tình		
Họa Mi	749		6	18.0	Việt Nam	Nhạc Trữ Tình		
Hương Lan	751		6	28.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Khả Tú	753		6	33.0	Việt Nam	Nhạc Trữ Tình		
Lương Gia Huy	756		0	21.0	Việt Nam	Nhạc Trữ Tình	Dance Việt	V-Pop
Lynda Trang Đài	819		6	17.0	Việt Nam	Nhạc Trữ Tình		
Tommy Ngô	820		6		Việt Nam	Nhạc Trữ Tình		
Mây Trắng	821	Pop 9x Sến	0	6.0	Việt Nam			
Mỹ Huyền	822		6		Việt Nam	Nhạc Trữ Tình		
Ngô Thanh Vân	824	Pop 2000	0	6.0	Việt Nam			
Ngọc Lan	825		6	18.0	Việt Nam	Nhạc Trữ Tình		
Nguyên Khang	826		6	18.0	Việt Nam	Nhạc Trữ Tình		
Loan Châu	827		6	17.0	Việt Nam	Nhạc Trữ Tình		
Quang Lê	828		6	28.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Thanh Lan	829		6	18.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Trish Thùy Trang	831		0		Việt Nam	Nhạc Trữ Tình		
Tuấn Hưng	832	Pop 9x thị trường	0	21.0	Việt Nam	V-Pop		
Y Phụng	851		6		Việt Nam	Nhạc Trữ Tình		
Bảo Hân	855		6	17.0	Việt Nam	Nhạc Trữ Tình		
Dạ Nhất Yến	858		6	17.0	Việt Nam	Nhạc Trữ Tình		
Hà Phương	865		6		Việt Nam	Nhạc Trữ Tình		
Hồ Lệ Thu	867		6	17.0	Việt Nam	Nhạc Trữ Tình		
Hương Thủy	870		6	28.0	Việt Nam	Nhạc Trữ Tình		
Kim Tử Long	871		6	7.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Lương Tùng Quang	876		6	17.0	Việt Nam	Nhạc Trữ Tình		
Minh Thuận	882	Pop 9x Sến	6	21.0	Việt Nam	Nhạc Trữ Tình		
Ngọc Liên	884		6	17.0	Việt Nam	Nhạc Trữ Tình		
Nguyễn Phi Hùng	886	Pop 9x Sến	0	21.0	Việt Nam	V-Pop		
Quang Linh	889		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Thanh Tuyền	899		6		Việt Nam	Nhạc Trữ Tình		
Thu Phương	900	Pop 9x nhạc sang	6	18.0	Việt Nam	Nhạc Trữ Tình	V-Pop	
Trần Thái Hòa	901		6	18.0	Việt Nam	Nhạc Trữ Tình		
Vina Uyển My	903		0		Việt Nam	Nhạc Trữ Tình		
Lê Uyên	907		6	18.0	Việt Nam	Nhạc Trữ Tình		
Lê Tâm	908		6	17.0	Việt Nam	Nhạc Trữ Tình		
Mai Hương	910		6	18.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Carol Kim	911		6	18.0	Việt Nam	Nhạc Trữ Tình		
Ái Vân	912		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Mạnh Đình	913		6	28.0	Việt Nam	Nhạc Trữ Tình		
Jo Marcel	916		6	18.0	Việt Nam	Nhạc Trữ Tình		
Ngọc Hạ	931		6	18.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Mộng Thi	933		33	14.0	Việt Nam	Nhạc Trữ Tình		
Noo Phước Thịnh	966	V-pop Mainstream	0		Việt Nam			
Phương Hồng Quế	990		6		Việt Nam	Nhạc Trữ Tình		
Ngọc Thúy	991		6	18.0	Việt Nam	Nhạc Trữ Tình		
Duy Trác	993		6	18.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Phi Phi	997		6	17.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Kenny Thái	1005		6		Việt Nam	Nhạc Trữ Tình		
Mỹ Lan	1009		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Lilian	1011		6	17.0	Việt Nam	Nhạc Trữ Tình		
Kim Anh	1014		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Thái Hiền	1016		6	18.0	Việt Nam	Nhạc Trữ Tình	Nhạc Trịnh	
Thái Thanh	1017		6	18.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Nhật Trường	1018		6		Việt Nam	Nhạc Dân Ca - Quê Hương		
Lệ Thu	1019		6	18.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	Nhạc Trịnh
Hoàng Oanh	1022		6		Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Duy Quang	1023		6	18.0	Việt Nam	Nhạc Trữ Tình		
Chế Linh	1024		6	28.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Vũ Khanh	1064		6	18.0	Việt Nam	Nhạc Trữ Tình		
Uyên Trang	1067		0	21.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Từ Minh Hy	1069		0	39.0	Việt Nam	Nhạc Trữ Tình		
Trang Mỹ Dung	1085		6		Việt Nam	Nhạc Trữ Tình		
Tóc Tiên	1089	V-pop Mainstream	0	44.0	Việt Nam			
Tik Tik Tak	1090		6		Việt Nam	Nhạc Trữ Tình		
Thái Châu	1093		6		Việt Nam	Nhạc Trữ Tình		
Phương Linh	1095	Pop Mainstream Vocal	0	6.0	Việt Nam			
Hải Yến	1097		6	12.0	Việt Nam	Nhạc Trữ Tình		
Hồ Anh Dũng	1100	Pop 2000 sến	0		Việt Nam			
Mai Khôi	1106	Pop Ballad Flop	6	18.0	Việt Nam			
Ngọc Tuyền	1108		6		Việt Nam	Nhạc Trữ Tình		
Vĩnh Thuyên Kim	1111		0	21.0	Việt Nam	Dance Việt	V-Pop	
2B	1158		0	6.0	Việt Nam			
Nguyễn Thắng	1189		6	21.0	Việt Nam			
Như Ý	1311		6		Việt Nam			
Phạm Khánh Hưng	1314	Pop 9x Sến	0	21.0	Việt Nam	V-Pop		
Phương Vy	1315	Pop 2000	0		Việt Nam			
Hồ Trung Dũng	1331		6		Việt Nam	Nhạc Trữ Tình		
Hoàng Bách	1332	Pop 9x thị trường	6	13.0	Việt Nam	V-Pop		
Hoàng Hải	1333	Pop Mainstream Vocal	0		Việt Nam			
Hoàng Thùy Linh	1334	V-pop Mainstream	0	44.0	Việt Nam	V-Pop		
Suboi	1481		12	37.0	Việt Nam	Rap Việt		
MTV	1512	Pop 9x thị trường	0		Việt Nam			
Xuân Hiếu	1514		8	3.0	Việt Nam	Nhạc Trữ Tình		
The Bells	1543	Pop 2000	0	6.0	Việt Nam			
Quách Thành Danh	1730	Pop 9x Sến	0	21.0	Việt Nam	Nhạc Trữ Tình		
Quang Bình	1731		6	18.0	Việt Nam	Nhạc Trữ Tình		
Hồng Hạnh	1764		6	11.0	Việt Nam	Nhạc Trữ Tình	Nhạc Trịnh	
Đình Nguyên	1769		6	18.0	Việt Nam	Nhạc Trữ Tình		
Phương Anh	1770		6		Việt Nam	Nhạc Trữ Tình		
Ngọc Khuê	1772		0		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Mai Hoa ((Diễn Viên))	1808		6		Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Kasim Hoàng Vũ	1809	Tây nguyên	0	6.0	Việt Nam			
Bạch Yến	1862		6	17.0	Việt Nam	Nhạc Trữ Tình		
Đức Huy	1864		6	13.0	Việt Nam	Nhạc Trữ Tình		
Hoàng Lê Vi	1866		6	13.0	Việt Nam	Nhạc Trữ Tình		
Đại Nhân	1867	Pop sến loại 2	0		Việt Nam			
Thế Sơn	1868		6	17.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Đình Văn	1940		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Ân Khải Minh	1969	Pop 2000 sến	0	39.0	Việt Nam			
Hạ Vy	1971		6	28.0	Việt Nam	Nhạc Trữ Tình		
Anh Bằng	1979		6	12.0	Việt Nam	Nhạc Trữ Tình		
Anh Đức	1981		6	12.0	Việt Nam	Nhạc Trữ Tình		
Tấn Minh	2005		6		Việt Nam	Nhạc Trữ Tình		
Minh Anh	2007		6	11.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Nguyên Thảo	2009		6		Việt Nam	Nhạc Trữ Tình		
Nguyễn Ngọc Anh	2011	Pop Mainstream Vocal	0	39.0	Việt Nam			
Tùng Dương	2012		6		Việt Nam	Nhạc Trữ Tình		
Thùy Chi	2034	Pop Mainstream Vocal	0		Việt Nam			
Đinh Ứng Phi Trường	2035	Pop 2000	0		Việt Nam			
Nam Cường	2098	Pop 9x Sến	0	21.0	Việt Nam	V-Pop		
Khang Luân	2099	Pop 2000	0	6.0	Việt Nam			
Anh Thúy	2128	Pop 2000 sến	0		Việt Nam			
