zmp3_name	zmp3_id	artist_group	community	cluster	zmp3_genre1	zmp3_genre2	zmp3_genre3	zmp3_genre4
Quân Đao	37447		12		Việt Nam	Rap Việt		
Hà Lê	37713		0		Việt Nam	Rap Việt		
Triều Quân	37934		6		Việt Nam	Nhạc Trữ Tình		
Hoàng Khánh Dũng	38198	Pop sến loại 2	0	39.0	Việt Nam			
Khánh Phong	38471		0	22.0	Việt Nam			
Vương Bảo Nam	39053	Pop sến loại 2	0	22.0	Việt Nam			
Mew Amazing	39197	Pop sôi động Flop	0		Việt Nam			
Trung Tự	39202	Pop sến loại 1	0	40.0	Việt Nam	Rap Việt	V-Pop	
Hoàng Hải My	39438	Pop sến loại 2	0	39.0	Việt Nam			
Steven Chí Dũng	40023		6	15.0	Việt Nam	Nhạc Trữ Tình		
Cao Vũ	40086	Pop sến loại 2	6	33.0	Việt Nam	V-Pop		
Trương Thảo Nhi	40238	V-pop Mainstream	0	44.0	Việt Nam			
Hari Won	40328	Pop sến loại 1	0		Việt Nam			
Tconk	40369		0		Việt Nam	V-Pop	Rap Việt	
Đỗ Hoàng Dương	40504	V-pop Mainstream	0		Việt Nam			
Khánh Hưng	40549	Pop 2000 sến	0		Việt Nam			
YunjBoo	41045		12	47.0	Việt Nam	Rap Việt		
Phương NP	41190		0		Việt Nam	Rap Việt	R&B Việt	
MLee	41493	V-pop Mainstream	0	39.0	Việt Nam			
K.B	41568		12	41.0	Rap Việt	Việt Nam		
Rick	41672		0		Việt Nam	V-Pop		
Vũ Tuấn Khang	41708		0	31.0	Việt Nam	V-Pop		
Tronie Ngô	41719		0		Việt Nam	Rap Việt		
Sendoh	41805		12		Việt Nam	Rap Việt		
Hoàng Tuấn	41847		6		Việt Nam			
Yên Nhiên	41848		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Nam Khang	41904	Pop 2000 sến	0	39.0	Việt Nam			
Hoàng Long	42136		6		Việt Nam	Nhạc Trữ Tình		
Vân Du	42213	Pop sến loại 2	0	39.0	Việt Nam			
Thùy Dương	42513		6	29.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Automatic Khắc Trí	42576	Pop miền Tây	0	26.0	Việt Nam			
Yan Nguyễn	43172	Pop sến loại 1	0	43.0	Việt Nam	V-Pop		
Thiên Tôn	43263		6	18.0	Việt Nam	Nhạc Trữ Tình		
Hoàng Kỳ Nam	43725	Pop sến loại 2	6	10.0	Việt Nam			
Hoàng Ái My	44325		6	33.0	Việt Nam	Nhạc Trữ Tình		
Vương Anh Tú	44522	Pop sến loại 1	0		Việt Nam	V-Pop		
Đan Phương	44723		6	29.0	Việt Nam			
Kai Đinh	44896	V-pop Mainstream	0		Việt Nam	V-Pop		
Kim Ny Ngọc	45188		0		Việt Nam	Dance Việt	V-Pop	
Dĩ Đăng	45261		0	22.0	Việt Nam			
Nhật Khánh	45348		6		Việt Nam	Nhạc Trữ Tình		
Kaang	45351		12	19.0	Việt Nam			
Hoàng Mỹ An	45356		6	17.0	Việt Nam	TV Show		
Vũ Thảo My	45357	Pop Ballad Flop	0		Việt Nam			
Onionn	45634		0	43.0	Việt Nam	Rap Việt	Dance Việt	
Ngọc Hân	45739		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
MIN	45740	V-pop Mainstream	0	44.0	Việt Nam	V-Pop		
Võ Đình Nam	45817		0	39.0	Việt Nam			
Âu Bảo Ngân	45835	Pop Ballad Flop	0	13.0	Việt Nam			
Y Jalin	46072	Tây nguyên	0	13.0	Việt Nam			
Đỗ Minh Quân	46166	Pop sến loại 2	0	39.0	Việt Nam			
Isaac Thái	46218	Pop sến loại 2	6		Việt Nam	V-Pop		
Quang Huy	46351		6	12.0	Việt Nam			
Tiết Duy Hòa	46365		6	29.0	Việt Nam	Nhạc Trữ Tình		
Thiên Dũng	47488	Pop sến loại 2	0	39.0	Việt Nam	V-Pop		
Yến Lê	47504	V-pop Mainstream	0	39.0	Việt Nam	V-Pop		
Bảo Kun	47562		0	39.0	Việt Nam			
Hồ Phong An	47648		0		Việt Nam	V-Pop		
Bé Trang Thư	47762		33	14.0	Việt Nam	Nhạc Thiếu Nhi		
Nguyễn Minh Cường	47767	V-pop Mainstream	0		Việt Nam	V-Pop		
Huỳnh Tân	47823		6	29.0	Việt Nam			
Bé Mỹ Uyên	47850		33	14.0	Việt Nam	Nhạc Thiếu Nhi		
Phương Thùy	47890		6	28.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	Nhạc Không Lời
Khánh Tân	47893	Pop sến loại 2	0	39.0	Việt Nam			
Châu Đăng Khoa	48022	V-pop Mainstream	0	43.0	Việt Nam			
Hoàng Mai Trang	49062		6	33.0	Việt Nam	Nhạc Trữ Tình		
Trí Quang	49290		6	34.0	Việt Nam	Nhạc Trữ Tình	Khác	
Rhosy	49296	Indie sôi động	0		Việt Nam			
DJ Milano	49708		0	39.0	Việt Nam			
Bảo Khánh	49710		6	33.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Lê Hậu	49839		6		Việt Nam			
Bình Minh Vũ	49920	Pop sến loại 2	0	39.0	Việt Nam			
Hoàng Hải Dương	50616	Pop sến loại 2	0	39.0	Việt Nam			
Mai Yến Chi	50662		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Gumiho	51722		12	41.0	Việt Nam	Rap Việt		
Liêu Chấn Hải	52352		0	5.0	Việt Nam	Nhạc Trữ Tình		
Thảo Wendy	52374	Pop sến loại 1	0		Việt Nam	V-Pop		
Khánh Bình	52602		6	29.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Tiến Dũng	52630		0	39.0	Việt Nam	V-Pop		
Bảo Ngọc	52797		33	14.0	Việt Nam	Nhạc Trữ Tình		
Châu Ngọc Tiên	52809		0		Việt Nam	Nhạc Trữ Tình		
Hồ Chí Hoàng	53081	Pop sến loại 2	0	39.0	Việt Nam			
Bùi Vĩnh Phúc	53227		0	22.0	Việt Nam			
Nam Dương	53409		0	22.0	Việt Nam			
Trịnh Tú Trung	53431		0		Việt Nam	V-Pop		
Trần Thu Hường	53737		0		Việt Nam			
Chiến Thắng	53744		6	33.0	Việt Nam	Nhạc Trữ Tình	V-Pop	
Lê Như	53846		6	29.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Hà Duy Thái	54059	Pop sến loại 2	0		Việt Nam			
Đình Bình	54073	Pop sến loại 2	0	30.0	Việt Nam			
TIA	54262	Pop sôi động Flop	0		Việt Nam	V-Pop		
Jang Phan	54371	Pop sến loại 2	0	39.0	Việt Nam			
Lưu Chấn Long	54389	Pop sến loại 2	0	30.0	Việt Nam			
Rtee	54452		12	37.0	Việt Nam	Rap Việt		
Trịnh Gia Phúc	54532		0	39.0	Việt Nam			
Cảnh Minh	55140	Pop sến loại 2	0	22.0	Việt Nam			
Trang	55557	Indie Ballad	0		Việt Nam			
Tuyết Mai	55617	Pop sến loại 2	6		Việt Nam			
Hữu Khương	55641		6	29.0	Việt Nam	Nhạc Trữ Tình		
Ngọc Yến	55644		6	34.0	Việt Nam	Nhạc Trữ Tình		
Đinh Đại Vũ	55646		0	43.0	Việt Nam			
Kiun Gia Tuấn	55794	Pop sến loại 2	0		Việt Nam			
Đức Anh	55856		0		Việt Nam			
Cao Hoàng Nghi	55931		6	29.0	Việt Nam	Nhạc Trữ Tình		
Phúc Lâm	55959		6		Việt Nam	Nhạc Cách Mạng		
Như Hoa	55961		6	33.0	Việt Nam	Nhạc Trữ Tình		
Da LAB	56067	V-pop Mainstream	0		Việt Nam	Rap Việt		
Thanh An	56069		6		Việt Nam			
Lâm Ngọc Huỳnh	56082		6		Việt Nam	Nhạc Trữ Tình		
Võ Kiều Vân	56133	Pop sến loại 1	0		Việt Nam			
Peto	56304		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	Nhạc Không Lời
Hoàng Dung	56327		6		Việt Nam			
Trường Lê	56383		0		Việt Nam	V-Pop		
Trọng Hiếu	56398	V-pop Mainstream	0	44.0	Việt Nam			
Hằng Ni	56401		6	9.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Loki Bảo Long	56454	Pop sến loại 2	0	39.0	Việt Nam			
Hải Lưu	56770		0	38.0	Việt Nam	V-Pop		
Lâm Triệu Minh	56881	Pop sến loại 2	0	22.0	Việt Nam			
SlimV	56884		0		Việt Nam	Dance Việt		
Dương Thanh Sang	57108		6	33.0	Việt Nam	Nhạc Trữ Tình		
Vương Bảo Tuấn	57408		6	0.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Khắc Hưng	57502	V-pop Mainstream	0		Việt Nam			
Kim Linh	57537		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	Nhạc Tôn Giáo
KOO	57540		12	37.0	Việt Nam	Rap Việt	R&B Việt	
Phạm Kỳ Anh	57638	Pop sến loại 2	0	39.0	Việt Nam			
Kiều Phạm	57820		0	39.0	Việt Nam	V-Pop		
Khánh Trần Rio	58314	Pop sến loại 2	0	39.0	Việt Nam			
Bảo Vân	58790		33		Việt Nam	Nhạc Trữ Tình		
Trần Lực	58934		0		Việt Nam			
Khói	58991		0	44.0	Việt Nam	Rap Việt		
Đinh Thiên Hương	58992		6		Việt Nam	Nhạc Trữ Tình		
Khang Chấn Thi	59182		6	34.0	Việt Nam	Nhạc Trữ Tình		
Đạt JeNoo	59187	Pop sến loại 2	0	39.0	Việt Nam			
Đỗ Lê Hồng Nhung	59214	Pop Ballad Flop	0	30.0	Việt Nam	V-Pop		
Ngọc Hạnh	59456		6	34.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Tiên Tiên	59804	V-pop Mainstream	0	44.0	Việt Nam			
B Ray	59861		0		Việt Nam	Rap Việt		
Khánh Duy Khương	59985		6	34.0	Việt Nam	Nhạc Trữ Tình		
Phạm Đình Thái Ngân	59999	V-pop Mainstream	0	44.0	Việt Nam	V-Pop		
Mỹ Hạnh	60019		6		Việt Nam			
Anh Tú Atus	60111	Pop sến loại 1	0		Việt Nam	V-Pop		
Julian Khang	60132		0		Việt Nam	Rap Việt		
Nguyên Nhung	60326		6	18.0	Việt Nam			
Trịnh Đình Quang	60760	Pop sến loại 1	0	43.0	Việt Nam	V-Pop		
Khánh Dũng	60994		0		Việt Nam			
Đinh Uyên	61060		0		Việt Nam			
Kiều Trâm	61827		6	33.0	Việt Nam			
Hồng Quyên	62054		6	29.0	Việt Nam	Nhạc Trữ Tình		
Phước Lộc	62936		6		Việt Nam	Nhạc Trữ Tình		
Phương Trần	63144		6		Việt Nam	Nhạc Trữ Tình		
Dương Minh Kiệt	63145	Pop miền Tây	0		Việt Nam	V-Pop		
Nguyên Đan	63252		6		Việt Nam	Nhạc Trữ Tình		
Hoàng Bảo Ngọc	63436		6	0.0	Việt Nam			
PB Nation	63441	Pop sôi động Flop	0		Việt Nam			
Ngọc Kiều Oanh	63481		6	34.0	Việt Nam	Nhạc Trữ Tình		
Thiện Nhân	63484		6	39.0	Việt Nam			
Phương Lan	63880		6	33.0	Việt Nam	Nhạc Trữ Tình		
Lâm Ngọc Hoa	63941		6	33.0	Việt Nam			
Vũ Duy Linh	63942		6	16.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Thành DeeDee	64533		6		Việt Nam	V-Pop		
Phương Ly	64682	V-pop Mainstream	0	44.0	Việt Nam			
Lưu Thiên Ân	64833		6	33.0	Việt Nam	Nhạc Trữ Tình		
Cao Lê Hà Trang	64968		33	2.0	Việt Nam	Nhạc Thiếu Nhi		
Tố Đoàn	64969		6	33.0	Việt Nam			
Trung Nghĩa	64974		6	33.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Go One	65014		0		Việt Nam			
Phạm Thành Nguyên	65147		6	34.0	Việt Nam	Nhạc Trữ Tình		
Lâm Hoàng Nghĩa	65203		6	29.0	Việt Nam	Nhạc Trữ Tình		
Dạ Thảo My	65204		6	29.0	Việt Nam	Nhạc Trữ Tình		
Cao Hoài Đông	65211		6		Việt Nam	Nhạc Trữ Tình		
Cao Mạnh Thắng	65250	Pop sến loại 2	0	39.0	Việt Nam			
Nguyên Sang	65408		6		Việt Nam	Nhạc Trữ Tình		
Huỳnh Thanh Thảo	65584		6	33.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Minh Kỳ	65668		6	11.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Băng Tình	65735		0	39.0	Việt Nam	Nhạc Trữ Tình		
Minh Tiến	65770		6		Việt Nam	Nhạc Trữ Tình		
Helen	65846		0		Việt Nam			
Blacka	65914		12	45.0	Việt Nam	Rap Việt		
Roc Piin	66102	Pop sến loại 2	0	39.0	Việt Nam			
Trịnh Thế Phong	66198	Pop sến loại 2	0		Việt Nam	V-Pop		
Vicky Nhung	66230	Pop sến loại 1	0		Việt Nam			
LIME	66287	V-pop Mainstream	0		Việt Nam			
Âu Nam Thái	66361	Pop sến loại 2	6	29.0	Việt Nam			
Thảo Hồ	66410		0		Việt Nam	Nhạc Trữ Tình		
Nguyên Chấn Thành	66417		0	39.0	Việt Nam			
Ngọc KayLa	66426	Pop sến loại 2	0		Việt Nam	V-Pop		
Hồ Gia Hùng	66440		0		Việt Nam			
Lý Cát Ngọc	66441		6		Việt Nam	Nhạc Trữ Tình		
Lou Hoàng	66503	V-pop Mainstream	0	44.0	Việt Nam			
Hoaprox	66571		0	30.0	Việt Nam	EDM Việt	V-Pop	
Minh Min	66576		0	27.0	Việt Nam			
Thanh Bình	66591		6	33.0	Việt Nam	Nhạc Trữ Tình		
Nhật Nguyễn	66592		0	30.0	Việt Nam			
Dương Gia Khánh	66646	Pop sến loại 2	0		Việt Nam	V-Pop		
Lưu Thái Vũ	66895	Pop sến loại 2	6		Việt Nam			
Nguyễn Ngọc Sơn	67182		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Liu Quốc Việt	67234	Pop sến loại 2	0	39.0	Việt Nam			
Tuấn Thăng	67247		6	33.0	Việt Nam			
Tân Trần	67248		0	35.0	Việt Nam			
Đăng Nguyên	67306		6	28.0	Việt Nam	Nhạc Trữ Tình		
Dương Nguyên Tâm	67458		6	34.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Gia Lâm	67460		6	33.0	Việt Nam	Nhạc Trữ Tình		
Phùng Khánh Linh	67525	V-pop Mainstream	0		Việt Nam	V-Pop		
Hoàng Dũng	67526		0	44.0	Việt Nam	V-Pop		
Phạm Anh Duy	67527	Pop Ballad Flop	0		Việt Nam	V-Pop		
DC Tâm	67663	Pop sến loại 2	0	39.0	Việt Nam	V-Pop		
Đan Phương	67774		6	29.0	Việt Nam	Nhạc Trữ Tình		
Linh Cáo	67806	Indie sôi động	12		Việt Nam	Rap Việt		
Hàn Khởi	67813	Pop sến loại 2	0	39.0	Việt Nam			
Lâm Nhật Thanh	67905		6	33.0	Việt Nam	Nhạc Trữ Tình		
Hoàng Hoa	67937		0	34.0	Việt Nam	Nhạc Trữ Tình		
Trương Kiều Diễm	67938	Pop sến loại 2	0		Việt Nam			
Huỳnh James	67955		12	37.0	Việt Nam	Rap Việt		
Chung Thương T-Jo	67966		0	39.0	Việt Nam	Rap Việt	Dance Việt	
Nhất Vũ	67992	Pop sến loại 2	6	29.0	Việt Nam			
Giang Anh Kỳ	67993		6		Việt Nam	Nhạc Trữ Tình		
Pjnboys	68202		12		Việt Nam	Rap Việt		
JUUN D	68284	V-pop Mainstream	0	44.0	Việt Nam	R&B Việt	V-Pop	
Hoàng Oanh	68306		0	39.0	Việt Nam			
Long Hải	68330		0		Việt Nam	V-Pop		
Suni Hạ Linh	68678	V-pop Mainstream	0	44.0	Việt Nam	V-Pop		
Phạm Quỳnh Như	68760		6	18.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Magazine	69060		0		Việt Nam	Rap Việt		
2Can	69081		12		Việt Nam	Rap Việt		
Bé Gia Vy	69089		33	14.0	Việt Nam	Nhạc Thiếu Nhi		
Bé Thiên Phúc	69109		33	14.0	Việt Nam	Nhạc Thiếu Nhi		
Phượng Vũ	69351	Pop sến loại 2	0	5.0	Việt Nam	V-Pop		
Vi Châu	69435		6		Việt Nam			
Quang Hùng MasterD	69443	V-pop Mainstream	0	44.0	Việt Nam			
Nhật Thiên	69623	Pop sến loại 2	0	39.0	Việt Nam			
Bảo Uyên	69635	Pop Mainstream Vocal	0	32.0	Việt Nam	V-Pop		
Thế Phương VBK	69703	Pop sến loại 2	0	39.0	Việt Nam			
Hoàng Nhật Thái	69704		6		Việt Nam	Nhạc Dân Ca - Quê Hương	Nhạc Tôn Giáo	
Như Bình	69760		0	39.0	Việt Nam	Nhạc Trữ Tình		
Hoàng Tuấn Kiệt	69807		6	0.0	Việt Nam			
Hoàng Ngọc Anh	69916		6	33.0	Việt Nam	Nhạc Trữ Tình		
Tố Ny	70127	Pop miền Tây	0	39.0	Việt Nam			
Dương Đình Phong	70314		6	34.0	Việt Nam			
Thúy Vân	70355		0	5.0	Việt Nam	V-Pop		
Liêng Kiếng Quang	70361		6	10.0	Việt Nam	Nhạc Dân Ca - Quê Hương	Nhạc Tôn Giáo	
Jun Phạm	70405	V-pop Mainstream	0		Việt Nam			
NAhy	70420	Pop sến loại 2	0	39.0	Việt Nam	V-Pop		
JayM	70536		12		Việt Nam	Rap Việt		
Trương Việt Thái	70631	Pop sến loại 2	0		Việt Nam			
Khang Chí Vinh	70773	Pop sến loại 2	0	39.0	Việt Nam			
Bảo Đinh	71021		6		Việt Nam			
Đức Phúc	71203	Pop Mainstream Vocal	0	44.0	Việt Nam			
Nguyễn An An	71404	Pop sến loại 2	0	39.0	Việt Nam	V-Pop		
Vy Thúy Hằng	71434		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Hà Nhi	71558	V-pop Mainstream	0	44.0	Việt Nam	V-Pop		
Mei	71642		0	26.0	Việt Nam			
Ron Vinh	71777		0	39.0	Việt Nam	V-Pop		
Lâm Gia Linh	71793		6	33.0	Việt Nam	Nhạc Trữ Tình		
Huyền Lê	71794		6	12.0	Việt Nam			
Bằng Chương	71806		6	29.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Sỹ Tuệ	71969		0	1.0	Việt Nam	V-Pop		
Lê Mỹ Như	72006		6		Việt Nam			
Trúc Phương	72141		6		Việt Nam			
The Wings Band	72163	Pop Ballad Flop	0	39.0	Việt Nam			
Lina Nguyễn	72164		6	33.0	Việt Nam	Nhạc Trữ Tình	V-Pop	
Vũ Uyên Nhi	72179	Pop sến loại 2	0	39.0	Việt Nam			
Quỳnh Vy	72202		6	33.0	Việt Nam			
Hương Nguyễn	72535		6	39.0	Việt Nam	Nhạc Trữ Tình		
Đình Phước	72577		6		Việt Nam	Nhạc Trữ Tình		
ERIK	72597	V-pop Mainstream	0	44.0	Việt Nam			
Faker	72658		12	19.0	Việt Nam			
Lương Quốc Thiên	72852		6	33.0	Việt Nam			
Ninh Bảo Văn	72926	Pop sến loại 2	0	39.0	Việt Nam			
Tố My	72946		6		Việt Nam	Nhạc Trữ Tình		
135 Band	72955		0	0.0	Việt Nam			
Tào Lữ Phụ	72991	Pop sến loại 2	0	39.0	Việt Nam			
Tăng Vinh Quang	73046	Pop sến loại 2	0	39.0	Việt Nam	V-Pop		
Quang Đăng Trần	73069	Pop sến loại 1	0		Việt Nam			
Phương Loan	73119		6		Việt Nam			
Hoàng Thiên	73202		0		Việt Nam			
NiN	73203		12	19.0	Việt Nam	Rap Việt		
Khoa Vũ	73205		0		Việt Nam			
Alex Lam	73334		0		Việt Nam	V-Pop		
Đinh Tùng Huy	73473		0	43.0	Việt Nam	V-Pop		
Lê Chinh	73632		6		Việt Nam	Nhạc Trữ Tình		
Hoàng Tuấn Linh	73640		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Trường Kha	73680		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Hoàng Như Thủy	73696		6		Việt Nam	Nhạc Trữ Tình		
Tường Huy	73699		6		Việt Nam	Nhạc Trữ Tình		
Cody	73745	V-pop Mainstream	0	39.0	Việt Nam	V-Pop		
Trương Lâm Minh	73746		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
TAT	73859	Pop Ballad Flop	0		Việt Nam			
Tuấn Khương	73914		0		Việt Nam	V-Pop		
Hải Vy	73985		6	33.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Lê Minh Trung	74342		6	33.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Đường Hưng	74385		0	22.0	Việt Nam	V-Pop		
Đình Tuấn	74517	Pop sến loại 2	0	39.0	Việt Nam			
Dương Chí Vinh	74589	Pop sến loại 2	0	26.0	Việt Nam			
Hoàng Việt Trang	74592		6	9.0	Việt Nam	Nhạc Trữ Tình		
Ngọc Châu	74750		6	9.0	Việt Nam			
Hoàng Thịnh	74760		6	0.0	Việt Nam	Nhạc Dân Ca - Quê Hương		
Huỳnh Tú	74797		0	44.0	Việt Nam	V-Pop		
Nguyễn Duyên Quỳnh	75187	Pop sến loại 2	0		Việt Nam			
Nguyễn Thành Viên	75200		6	33.0	Việt Nam			
Sha Băng	75218	Pop sến loại 2	0	32.0	Việt Nam	V-Pop		
Khải Đăng	75374	Pop sến loại 1	0		Việt Nam	V-Pop		
Lip B	75397	V-pop Mainstream	0	39.0	Việt Nam			
Lê Việt	75461		0		Việt Nam			
Trung Trần	75464		12		Việt Nam			
Mỹ Huyền	75494		6		Việt Nam	Nhạc Trữ Tình		
Lil Wuyn	75553		12	45.0	Việt Nam	Rap Việt		
Tấn Văn MDP	75559		0	5.0	Việt Nam			
Phạm Nhật Sơn	75895		6	16.0	Việt Nam	Nhạc Trữ Tình		
Nguyên Trung	75910		6	33.0	Việt Nam	V-Pop		
Mai Lệ Quyên	75945		6	29.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Cao Cự Cường	75969	Pop 2000 sến	0	39.0	Việt Nam			
Bé Ngọc Nhi	75995		33	14.0	Việt Nam	Nhạc Thiếu Nhi		
Jayden	76095		12	47.0	Việt Nam	Rap Việt	R&B Việt	V-Pop
Tina Ngọc Nữ	76130		6	4.0	Việt Nam	Nhạc Tôn Giáo		
Hương Ngọc Vân	76200		6	33.0	Việt Nam	Nhạc Trữ Tình		
Nam Hy	76303	Pop sến loại 2	0	39.0	Việt Nam			
Bé Quỳnh My	76453		33	14.0	Việt Nam	Nhạc Thiếu Nhi		
Ngọt	76464	Indie sôi động	0		Việt Nam			
Hoàng Lê	76553		6		Việt Nam	Nhạc Trữ Tình		
Nâu	76574	Indie sôi động	0	36.0	Việt Nam	Rap Việt		
Adam Lâm	76726	Pop sến loại 2	0	1.0	Việt Nam			
Tăng Quỳnh My	77048	Pop sến loại 2	0	39.0	Việt Nam			
Tăng Thiên Ân	77120		6	10.0	Việt Nam	Nhạc Trữ Tình		
Dương Minh Ngọc	77208		6	10.0	Việt Nam	Nhạc Trữ Tình		
Nguyễn Phương Trang	77247		6	11.0	Việt Nam	Nhạc Dân Ca - Quê Hương		
Trung Quang	77252		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Hà Thế Dũng	77253		6	29.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Hồ Văn Cường	77300		6		Việt Nam	Nhạc Trữ Tình	Nhạc Thiếu Nhi	
Gia Khiêm	77302	Pop sến loại 1	33		Việt Nam	Nhạc Thiếu Nhi		
Tô Tấn Loan	77306		6		Việt Nam	Nhạc Dân Ca - Quê Hương	Cải Lương	
Mỹ Vân	77308		6	8.0	Việt Nam	Cải Lương		
Quỳnh Trang	77309		6	29.0	Việt Nam	Nhạc Trữ Tình		
Lê Anh Khôi	77310	Pop sến loại 2	0	39.0	Việt Nam	V-Pop		
Billy Nhựt Minh	77751	Pop sến loại 2	0	26.0	Việt Nam	R&B Việt	V-Pop	
Thiên Hương	77826		6		Việt Nam			
Bảo Nam	77829		6	33.0	Việt Nam	Nhạc Trữ Tình		
MONSTAR	77842	V-pop Mainstream	0		Việt Nam	V-Pop		
Huy Cường	77855		6	33.0	Việt Nam			
Doll Phan Hiếu	77920	Pop sến loại 2	0	5.0	Việt Nam			
Từ Công Phụng	100102		6	18.0	Việt Nam	Nhạc Trữ Tình		
Ngọc Trọng	100104		6	29.0	Nhạc Trữ Tình	Việt Nam		
Ân Nhi	100857		0	43.0	Việt Nam	V-Pop		
LilGee Phạm	101461	Pop sến loại 2	0	39.0	Việt Nam			
Duy Cường	102044		0	39.0	Việt Nam	V-Pop		
Đặng Minh	102248		12		Việt Nam	V-Pop		
Julie	102706		24	3.0	Việt Nam	Nhạc Trữ Tình		
Mai Trần Lâm	105017		6	33.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Tuấn Tú Bolero	105023		6	10.0	Việt Nam	Nhạc Trữ Tình		
Mỹ Anh	105024	Indie sôi động	0	36.0	Việt Nam	R&B Việt	V-Pop	
Thiên Khôi	105117		0		Việt Nam	Nhạc Thiếu Nhi	V-Pop	
Đào Nguyễn Ánh	105141	Pop sến loại 2	0	39.0	Việt Nam	V-Pop		
Nguyễn  Nam	105170		6	0.0	Việt Nam	Nhạc Tôn Giáo		
Uni5	105178	V-pop Mainstream	0	39.0	Việt Nam	R&B Việt	V-Pop	
Phạm Thanh Sang	105180		0	26.0	Việt Nam			
Hồng Gấm	105258		6		Việt Nam	Nhạc Trữ Tình	V-Pop	
Cẩm Loan	105259		6	29.0	Việt Nam	Nhạc Trữ Tình		
Xêri	105261		6		Việt Nam	Nhạc Trữ Tình		
Gin Tuấn Kiệt	105317	Pop sến loại 1	0	44.0	Việt Nam			
Tăng Phúc	105478	V-pop Mainstream	0	44.0	Việt Nam			
Soul Club	105500		0		Việt Nam			
Vũ.	105613	Indie Ballad	0	44.0	Việt Nam			
Châu Dương	105615		0		Việt Nam	V-Pop		
Thái Đinh	105616	Indie Ballad	0		Việt Nam			
Hải Sâm	105630	Indie Ballad	0		Việt Nam			
Quốc Anh	105765		6	18.0	Việt Nam	Nhạc Trữ Tình		
Lê Tấn Quốc	106015		8	3.0	Việt Nam	Nhạc Không Lời		
Jimmi Jc Nguyễn	106027		6	13.0	Việt Nam	Nhạc Trữ Tình		
Dương Cường	106052		0		Việt Nam			
Hàn Châu	106084		6	29.0	Việt Nam	Nhạc Trữ Tình		
Ngọc Ngữ	106207		6	28.0	Việt Nam	Nhạc Trữ Tình		
Hoàng Thúy Vy	106209		6		Việt Nam			
Tuấn Hoàng	106379		6	0.0	Việt Nam	Nhạc Trữ Tình		
Guitar Vĩnh Tâm	106387		8	3.0	Việt Nam	Nhạc Cách Mạng		
Hồ Quang Ngọc	106634	Pop sến loại 2	0	39.0	Việt Nam	V-Pop		
marzuz	106783	Indie sôi động	0		Việt Nam			
Minh Trí	106817		6	9.0	Việt Nam			
Văn Hương	106839		6	29.0	Việt Nam			
Bùi Thúy	106843		6		Việt Nam			
Hữu Tuấn	106844		0	39.0	Việt Nam			
Ngọc Thảo	107077		6	29.0	Việt Nam	Nhạc Trữ Tình		
Hoàng Thiên Minh Trị	107190		0		Việt Nam			
